spot	area	icon	address	note	votes	voters
瀨長島	南部	🏝️	瀬長島ウミカジテラス	海邊購物＋睇飛機升降	0	
龍神の湯（瀬長島溫泉）	南部	♨️	龍神の湯 瀬長島	對住跑道嘅露天溫泉	0	
知念岬公園	南城	🌅	知念岬公園	免費海景步道	0	
斎場御嶽	南城	🌿	斎場御嶽	世界遺產聖地（查休館日）	0	
ニライカナイ橋	南城	🌉	ニライカナイ橋 展望	絕景大橋	0	
ガンガラーの谷	南城	🌳	ガンガラーの谷	鐘乳洞森林導覽（需預約）	0	
奥武島	南城	🐱	奥武島	炸天婦羅・貓島	0	
玉泉洞（おきなわワールド）	南部	🕳️	おきなわワールド 玉泉洞	鐘乳洞＋文化村	0	
波上宮	那覇	⛩️	波上宮	海邊神社	0	
首里城公園	那覇	🏯	首里城公園	世界遺產（重建中）	0	
西来院（達磨寺）	那覇	🛕	西来院 那覇		0	
國際通	那覇	🛍️	国際通り	行街／購物	0	
第一牧志公設市場	那覇	🐟	第一牧志公設市場	二樓即買即煮海鮮	0	
扭蛋 / Calbee / 御菓子御殿	那覇	🎁	御菓子御殿 国際通り松尾店	手信	0	
Donki / 藥妝	那覇	🛒	ドン・キホーテ 国際通り店	24 小時掃貨	0	
T Galleria DFS（免稅）	那覇	💎	Tギャラリア沖縄 by DFS	名牌免稅	0	
JAM MARKET	那覇	👕	JAM MARKET 沖縄	古著／二手	0	
港川 COCOROAR CAFE	浦添	☕	COCOROAR CAFE 港川	外人住宅街 cafe	0	
港川 Houki Boshi 可麗露	浦添	🍮	ほうき星 港川	招牌 canelé	0	
ブルーシール牧港本店	浦添	🍦	ブルーシール 牧港本店	沖繩雪糕本店	0	
イオンモール沖縄ライカム	中城	🛒	イオンモール沖縄ライカム	大商場＋巨型水槽	0	
美國村（再去）	北谷	🎡	美浜アメリカンビレッジ	摩天輪／海濱	0	
残波岬	讀谷	🗼	残波岬	燈塔懸崖絕景	0	
やちむんの里	讀谷	🏺	やちむんの里	陶器村	0	
萬座毛	恩納	🌊	万座毛	象鼻岩（順路再睇）	0	
釣魚（三重城/那覇沿岸）	那覇	🎣	那覇沿岸漁港	已排 23/6 上午	0	
ATV 越野車	—	🏍️	沖縄 ATV 体験	越野體驗	0	
